,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
0,0.0,0.0,0.529,0.0,5.0,visual
1,0.235,0.176,0.824,0.176,5.0,visual
2,0.0,0.529,0.0,0.0,5.0,visual
3,0.0,0.0,0.333,0.0,5.0,visual
4,0.1,0.15,1.1,0.6,5.0,visual
5,0.118,0.118,0.824,0.176,5.0,visual
6,0.0,0.421,0.0,0.0,5.0,visual
7,0.412,0.412,0.765,0.412,5.0,visual
8,0.0,0.167,0.167,0.056,5.0,visual
9,0.0,0.158,1.158,0.0,5.0,visual
10,0.0,0.067,0.867,0.0,5.0,visual
11,0.35,3.1,0.45,0.3,4.95,visual
12,0.0,0.65,0.3,0.0,4.95,visual
13,0.0,0.05,0.35,0.05,4.95,visual
14,0.368,0.474,0.579,0.263,4.947,visual
15,0.0,0.158,0.316,0.632,4.947,visual
16,0.211,0.316,1.158,0.789,4.947,visual
17,0.053,2.368,0.158,0.105,4.947,visual
18,0.0,2.611,0.778,0.056,4.944,visual
19,0.0,1.278,0.0,1.056,4.944,visual
20,0.0,0.139,0.417,0.0,4.944,visual
21,0.471,1.235,0.882,1.0,4.941,visual
22,0.059,2.353,0.0,0.0,4.941,visual
23,0.0,0.353,0.294,0.0,4.941,visual
24,0.0,2.412,0.059,0.235,4.941,visual
25,0.062,0.0,0.312,0.062,4.938,visual
26,0.062,2.188,0.562,0.812,4.938,visual
27,0.067,2.067,0.267,0.333,4.933,visual
28,0.8,3.467,0.933,2.133,4.933,visual
29,0.0,0.0,0.133,0.133,4.933,visual
30,0.357,2.429,1.571,3.071,4.929,visual
31,0.0,0.955,0.318,0.0,4.909,visual
32,0.455,0.455,0.182,0.364,4.909,visual
33,0.0,0.35,0.05,0.15,4.9,visual
34,0.0,0.05,0.3,0.0,4.9,visual
35,0.0,0.15,0.15,0.0,4.9,visual
36,0.0,0.684,0.105,0.105,4.895,visual
37,0.0,1.111,0.278,0.056,4.889,visual
38,0.0,0.556,0.778,0.0,4.889,visual
39,0.0,0.111,0.722,0.0,4.889,visual
40,0.056,2.889,0.333,0.111,4.889,visual
41,0.056,2.444,0.056,0.0,4.889,visual
42,0.444,3.333,0.444,0.556,4.889,visual
43,0.278,1.278,1.444,0.444,4.889,visual
44,0.353,0.294,0.471,0.294,4.882,visual
45,0.0,0.294,0.0,0.0,4.882,visual
46,0.0,0.059,0.0,0.0,4.882,visual
47,0.0,3.706,0.0,0.0,4.882,visual
48,0.235,4.059,1.118,0.882,4.882,visual
49,0.059,1.765,0.0,0.176,4.882,visual
50,0.176,0.176,0.294,0.176,4.882,visual
51,0.0,0.176,0.412,0.0,4.882,visual
52,0.0,0.059,0.0,0.0,4.882,visual
53,0.0,2.25,0.0,0.0,4.875,visual
54,0.125,2.312,0.562,1.25,4.875,visual
55,0.0,0.0,0.0,0.0,4.875,visual
56,0.0,4.188,0.062,0.062,4.875,visual
57,0.0,0.062,0.0,0.0,4.875,visual
58,0.0,2.25,0.188,0.0,4.875,visual
59,0.0,3.0,0.062,0.062,4.875,visual
60,0.062,1.875,0.688,0.938,4.875,visual
61,0.357,0.5,0.357,0.357,4.857,visual
62,0.0,0.429,0.143,0.0,4.857,visual
63,0.0,2.333,0.19,0.0,4.857,visual
64,0.0,0.25,0.5,0.0,4.85,visual
65,0.0,1.0,0.05,0.1,4.85,visual
66,0.3,2.95,0.55,0.3,4.85,visual
67,0.2,2.1,0.4,0.15,4.85,visual
68,0.0,1.231,0.0,0.0,4.846,visual
69,0.211,0.842,1.158,0.316,4.842,visual
70,0.0,2.0,0.368,0.0,4.842,visual
71,0.158,1.632,0.421,0.211,4.842,visual
72,0.0,0.158,0.0,0.0,4.842,visual
73,0.0,2.474,0.158,0.0,4.842,visual
74,0.167,0.889,0.278,0.333,4.833,visual
75,0.0,2.444,0.0,0.5,4.833,visual
76,0.75,2.833,0.583,0.583,4.833,visual
77,0.111,0.389,0.667,0.167,4.833,visual
78,0.056,2.667,1.0,0.167,4.833,visual
79,0.0,1.778,0.0,0.0,4.833,visual
80,0.0,2.167,0.0,0.75,4.833,visual
81,0.056,0.167,0.444,0.444,4.833,visual
82,0.0,1.278,0.278,0.0,4.833,visual
83,0.5,3.278,1.056,0.278,4.833,visual
84,0.0,0.111,0.222,0.056,4.833,visual
85,0.0,0.222,0.278,0.0,4.833,visual
86,0.278,0.278,0.278,0.333,4.833,visual
87,0.278,2.389,0.333,0.278,4.833,visual
88,0.222,0.556,0.5,0.667,4.833,visual
89,0.278,0.778,1.5,0.333,4.833,visual
90,0.0,4.588,1.0,0.765,4.824,visual
91,4.941,4.412,0.647,3.824,4.824,visual
92,0.0,0.176,0.176,0.0,4.824,visual
93,0.471,1.824,0.941,0.941,4.824,visual
94,0.0,3.588,0.353,0.235,4.824,visual
95,0.0,2.118,0.235,0.059,4.824,visual
96,0.0,2.471,0.0,0.176,4.824,visual
97,0.176,0.118,0.941,0.353,4.824,visual
98,0.0,0.941,0.0,0.059,4.824,visual
99,0.588,2.647,0.0,1.588,4.824,visual
100,0.0,0.294,1.059,0.0,4.824,visual
101,0.0,0.471,0.235,0.0,4.824,visual
102,0.0,0.824,0.235,0.0,4.824,visual
103,0.0,0.059,0.0,0.0,4.824,visual
104,0.118,1.294,1.0,1.882,4.824,visual
105,0.0,1.312,0.625,0.062,4.812,visual
106,0.0,3.0,0.312,0.5,4.812,visual
107,0.062,3.062,0.125,0.188,4.812,visual
108,0.438,3.375,1.812,0.375,4.812,visual
109,1.188,1.875,0.5,0.5,4.812,visual
110,0.062,1.375,1.25,0.375,4.812,visual
111,1.062,3.938,1.875,2.312,4.812,visual
112,0.062,1.5,0.188,0.0,4.812,visual
113,0.0,3.188,0.312,0.562,4.812,visual
114,0.25,1.188,0.625,0.438,4.812,visual
115,0.024,0.268,0.585,0.049,4.805,visual
116,0.0,0.85,0.4,0.25,4.8,visual
117,0.0,0.533,0.6,0.0,4.8,visual
118,0.0,0.0,0.067,0.0,4.8,visual
119,0.0,1.133,0.267,0.533,4.8,visual
120,0.0,1.0,0.0,0.0,4.8,visual
121,0.2,0.9,0.25,0.2,4.8,visual
122,0.333,0.8,1.2,1.067,4.8,visual
